total_focos,ano,mes,estado
16,1998,5,AM
4,1998,5,AP
6,1998,5,RR
16,1998,5,TO
3,1998,6,AC
3,1998,6,AM
1,1998,6,AP
55,1998,6,BA
1,1998,6,CE
2,1998,6,DF
6,1998,6,ES
172,1998,6,GO
78,1998,6,MA
70,1998,6,MG
82,1998,6,MS
2200,1998,6,MT
58,1998,6,PA
3,1998,6,PB
2,1998,6,PE
47,1998,6,PI
36,1998,6,PR
3,1998,6,RJ
1,1998,6,RN
27,1998,6,RO
2,1998,6,SC
451,1998,6,SP
258,1998,6,TO
40,1998,7,AC
73,1998,7,AM
4,1998,7,AP
219,1998,7,BA
76,1998,7,CE
17,1998,7,DF
37,1998,7,ES
512,1998,7,GO
277,1998,7,MA
231,1998,7,MG
360,1998,7,MS
3711,1998,7,MT
640,1998,7,PA
5,1998,7,PE
188,1998,7,PI
59,1998,7,PR
21,1998,7,RJ
5,1998,7,RN
378,1998,7,RO
2,1998,7,RR
597,1998,7,SP
675,1998,7,TO
164,1998,8,AC
1,1998,8,AL
323,1998,8,AM
4,1998,8,AP
813,1998,8,BA
102,1998,8,CE
48,1998,8,DF
38,1998,8,ES
2216,1998,8,GO
1178,1998,8,MA
878,1998,8,MG
228,1998,8,MS
15404,1998,8,MT
6821,1998,8,PA
5,1998,8,PB
39,1998,8,PE
718,1998,8,PI
42,1998,8,PR
21,1998,8,RJ
4,1998,8,RN
2259,1998,8,RO
9,1998,8,RS
580,1998,8,SP
3758,1998,8,TO
570,1998,9,AC
14,1998,9,AL
279,1998,9,AM
20,1998,9,AP
2719,1998,9,BA
608,1998,9,CE
31,1998,9,DF
110,1998,9,ES
2870,1998,9,GO
3979,1998,9,MA
1977,1998,9,MG
457,1998,9,MS
10360,1998,9,MT
6240,1998,9,PA
51,1998,9,PB
257,1998,9,PE
2001,1998,9,PI
61,1998,9,PR
44,1998,9,RJ
50,1998,9,RN
3786,1998,9,RO
7,1998,9,RR
60,1998,9,RS
6,1998,9,SC
525,1998,9,SP
5260,1998,9,TO
54,1998,10,AC
